INCLUIDO/ RDC 35/2012 CAP V ART 10
INCLUIDO/ RDC 35/2012 CAP V ART 11-I
INCLUIDO/RDC 35/2012 CAP V ART 11-II
INCLUIDO/ RDC 35/2012 CAP V ART 11-III
LISTA DE MEDICAMENTOS DE REFERÊNCIA,"","","","",""
FÁRMACO,DETENTOR,"",NOME COMERCIAL,CONCENTRAÇÃO,FORMA FARMACÊUTICA,DATA INCLUSÃO
Nevirapina,Boehringer Ingelheim,VIRAMUNE,10mg/mL,susp or,12/11/2012
Nevirapina,Boehringer Ingelheim,VIRAMUNE,200mg,com,12/11/2012
Nicotina,Johnson & Johnson,NICORETTE,"2,0 | 4,0 mg",goma de mascar,12/11/2012
Nicotina,Glaxosmithkline,NIQUITIN,"7,0 | 14 | 21 mg",ades,12/11/2012
Nifedipino,Bayer,ADALAT,10mg,cap mole,12/11/2012
Nifedipino,Bayer,ADALAT OROS,20 | 30 | 60 mg,com camada dupla,12/11/2012
Nifedipino,Bayer,ADALAT RETARD,10 | 20 mg,com rev,12/11/2012
Nimesulida,Aché,NISULID,100mg,sups,12/11/2012
Nimesulida,Aché,NISULID,100mg,com,12/11/2012
Nimesulida,Aché,NISULID,100mg,com disp,12/11/2012
Nimesulida,Aché,NISULID,100mg,gran,12/11/2012
Nimesulida,Aché,NISULID,10mg/mL,susp or,12/11/2012
Nimesulida,Aché,NISULID,20mg/g,gel,12/11/2012
Nimesulida,Aché,NISULID,50mg,sups,12/11/2012
Nimesulida,Aché,NISULID,50mg/mL,susp or,12/11/2012
Nimesulida,Diffucap-Chemobras,ARFLEX RETARD,200 mg,cap lib prol,12/11/2012
Nimodipino,Ems Sigma Pharma,GENÉRICO,30mg,com revestido,02/08/2013
Nistatina,Bristol Myers Squibb,MICOSTATIN,100.000U/g,crem vag,12/11/2012
Nistatina,Bristol Myers Squibb,MICOSTATIN,100.000U/mL,susp or,12/11/2012
Nistatina,Bristol Myers Squibb,MICOSTATIN,200.000U,past,12/11/2012
Nistatina,Bristol Myers Squibb,MICOSTATIN,25.000U/g,crem vag,12/11/2012
Nistatina,Bristol Myers Squibb,MICOSTATIN,500.000U,drag,12/11/2012
Nitazoxanida,Farmoquímica,ANNITA,500mg,com,12/11/2012
Nitazoxanida,Farmoquímica,ANNITA,20mg/mL,susp or,12/11/2012
Nitrofurantoína,Mantecorp,MACRODANTINA,100mg,cap dura,12/11/2012
Nitroglicerina,Novartis Biociências,NITRODERM TTS,25 | 50 mg,ades,12/11/2012
Nitrufural,Mantecorp,FURACIN,2mg/g,pom derm,12/11/2012
Nitrufural,Mantecorp,FURACIN,2mg/mL,sol top,12/11/2012
Noratriptano (cloridrato),Glaxosmithkline,NARAMIG,"2,5 mg",com rev,12/11/2012
Noretisterona,Janssen Cilag,MICRONOR,"0,35mg",com,12/11/2012
Norfloxacino,Merck Sharp & Dohme,FLOXACIN,400mg,com rev,12/11/2012
Nortriptilina (cloridrato),Novartis Biociências,PAMELOR,2mg/mL,sol or,12/11/2012
Nortriptilina (cloridrato),Novartis Biociências,PAMELOR,10 | 25 | 50 | 75 mg,cap dura,12/11/2012
Ocitocina,Novartis Biociências,SYNTOCINON,5UI/mL,sol inj,12/11/2012
Ocitocina,Novartis Biociências,SYNTOCINON,40UI/mL,sol spr nas,12/11/2012
Octreotida (acetato),Novartis Biociências,SANDOSTATIN,"0,05 | 0,1 | 0,5 mg/mL",sol inj,12/11/2012
Octreotida (acetato),Novartis Biociências,SANDOSTATIN LAR,10 | 20 | 30 mg,po susp inj,12/11/2012
Ofloxacino,Allergan,OFLOX,3mg/mL,sol oft,12/11/2012
Olanzapina,Eli Lilly,ZYPREXA,10mg,pol liof sol inj,12/11/2012
Olanzapina,Eli Lilly,ZYPREXA,"2,5 | 5,0 | 10 mg",com rev,12/11/2012
Olanzapina,Eli Lilly,ZYPREXA ZYDIS,"5,0mg",com orodisp,12/11/2012
Olanzapina,Eli Lilly,ZYPREXA ZYDIS,"5,0 | 10 mg",com orodisp,12/11/2012
Olmesartana medoxomila,Sankyo Pharma,BENICAR,20 | 40 mg,com rev,12/11/2012
Olopatadina (cloridrato),Alcon,PATANOL,"1,0 | 2,0 mg/mL",sol oft,12/11/2012
Omeprazol magnésico,Astrazeneca,LOSEC MUPS,10 | 20 | 40 mg,com rev,12/11/2012
Omeprazol (sódico),Eurofarma,Genérico,40mg/ml,pó liof sol inj,13/03/2013
Ondansetrona (cloridrato),Glaxosmithkline,ZOFRAN,2mg/mL,sol inj,12/11/2012
Ondansetrona (cloridrato),Glaxosmithkline,ZOFRAN,"4,0 | 8,0 mg",com rev,12/11/2012
Ondansetrona (cloridrato),Biolab Sanus,VONAU FLASH,"4,0 | 8,0 mg",com desintegr or,12/11/2012
Orlistat,Roche,XENICAL,120mg,cap dura,12/11/2012
Oseltamivir (fosfato),Roche,TAMIFLU,12 mg/mL,po susp oral,12/11/2012
Oseltamivir (fosfato),Roche,TAMIFLU,30 | 45 | 75 mg,cap dura,12/11/2012
Oxacilina sódica,Teuto,OXACILINA SÓDICA,"166,67mg/mL(500mg)",po sol inj,12/11/2012
Oxaliplatina,Sanofi-Aventis,ELOXATIN,"5,0 mg/mL",sol inj,12/11/2012
Oxaliplatina,Biosintética,BIOEZULEN,50 | 100 mg,po liof sol inj,12/11/2012
Oxamniquina,Pfizer,MANSIL,250mg,cap dura,12/11/2012
Oxamniquina,Pfizer,MANSIL,50mg/mL,susp or,12/11/2012
Oxcarbazepina,Novartis Biociências,TRILEPTAL,300 | 600 mg,com rev,12/11/2012
Oxcarbazepina,Novartis Biociências,TRILEPTAL,60mg/mL,susp or,12/11/2012
Oxibutinina (cloridrato),Apsen,RETEMIC,1mg/mL,xpe,12/11/2012
Oxibutinina (cloridrato),Apsen,RETEMIC,"5,0mg",com,12/11/2012
Oxibutinina (cloridrato),Apsen,RETEMIC UD,"5,0 | 10,0mg",com rev lib control,31/01/2013 e 12/11/2012
Oxicodona (cloridrato),Zodiac,OXYCONTIN,10 | 20 | 40mg,com rev lib control,12/11/2012
Oxiconazol (nitrato),Bayer,OCERAL,10mg/g,crem derm,12/11/2012
Oxiconazol (nitrato),Bayer,OCERAL,10mg/g,sol top,12/11/2012
Oximetazolina (cloridrato),Mantecorp,AFRIN PEDIÁTRICO,"0,25 g/ml",sol got nas,12/11/2012
Oximetazolina (cloridrato),Mantecorp,AFRIN12 HORAS ADULTO,"0,50 mg/ml",sol spr nas,12/11/2012
Oximetolona,Sanofi-Aventis,HEMOGENIN,50mg,com,12/11/2012
Oxitetraciclina (cloridrato),Pfizer,TERRAMICINA,500mg,cap dura,12/11/2012
Paclitaxel,Bristol Myers Squibb,TAXOL,"6,0mg/mL",sol inj,12/11/2012
Paliperidona,Janssen Cilag,INVEGA,"3,0 | 6,0 | 9,0 mg",com rev lib prol,12/11/2012
Pamidronato dissódico,Eurofarma,PAMIDRON,60 mg,po liof sol inj,17/03/2014
Pamidronato dissódico,Eurofarma,PAMIDRON,90 mg,po liof sol inj,17/03/2014
Pamidronato dissódico,Libbs,FAULDPAMI,"9,0 mg/mL",sol inj,12/11/2012
Pantoprazol sódico,Takeda,PANTOZOL,20 - 40 mg,com rev,12/11/2012
Pantoprazol sódico,Takeda,PANTOZOL,40mg,gran rev,23/01/2013
Pantoprazol sódico,Takeda,PANTOZOL,4mg/mL,po liof sol inj,12/11/2012
Pantoprazol magnésico,Takeda,TECTA,40mg,com rev,22/01/2013
Paracetamol,Procter & Gamble,VICK PYRENA,100mg/g,po prep extemp,12/11/2012
Paracetamol,Glaxosmithkline,SONRIDOR,500mg,com eferv,12/11/2012
Paracetamol,Janssen Cilag,TYLENOL,500mg,com eferv,12/11/2012
Paracetamol,Janssen Cilag,TYLENOL,750 mg,com rev,12/11/2012
Paracetamol,Janssen Cilag,TYLENOL AP,650mg,com rev,12/11/2012
Paracetamol,Janssen Cilag,TYLENOL BEBÊ,100mg/mL,susp or,12/11/2012
Paracetamol,Janssen Cilag,TYLENOL CRIANÇA,32mg/mL,susp or,12/11/2012
Paracetamol,Janssen Cilag,TYLENOL GELcap,500mg,com rev gelat,12/11/2012
Paracetamol,Janssen Cilag,TYLENOL GOTAS,200mg/mL,sol or,12/11/2012
Parecoxibe sódico,Pfizer,BEXTRA IV/IM,40 mg,po liof sol inj,19/04/2013
Paroxetina (cloridrato),Libbs,CEBRILIN,10mg,com rev,20/11/2012
Paroxetina (cloridrato),Libbs,CEBRILIN,30mg,com rev,07/10/2013
Paroxetina (cloridrato),Glaxosmithkline,AROPAX,20mg,com rev,12/11/2012
Paroxetina (cloridrato),Glaxosmithkline,PAXIL CR,"12,5 | 25 mg",com lib control,12/11/2012
Pemetrexede dissódico heptaidratado,Eli Lilly,ALIMTA,100 | 500 mg,po liof sol inj,12/11/2012
Pentoxifilina,Sanofi-Aventis,TRENTAL,20mg/mL,sol inj,12/11/2012
Pentoxifilina,Sanofi-Aventis,TRENTAL,400mg,com rev lib prol,12/11/2012
Pergolida (mesilato),Eli Lilly,CELANCE,"0,05 | 0,25 | 1,0 mg",com,12/11/2012
Periciazina,Sanofi-Aventis,NEULEPTIL,10mg/ml,sol,17/03/2014
Periciazina,Sanofi-Aventis,NEULEPTIL,40mg/mL,sol,17/03/2014
Periciazina,Sanofi-Aventis,NEULEPTIL,10mg,comp revestido,17/03/2014
Perindopril,Servier,COVERSYL,"2,0 | 4,0 | 8,0 mg",com,12/11/2012
Permetrina,Stiefel,NEDAX,10mg/g,sabn,12/11/2012
Permetrina,Stiefel,NEDAX,10mg/mL,xamp,12/11/2012
Permetrina,Stiefel,NEDAX,50mg/mL,loç cremosa,12/11/2012
Permetrina,Glaxosmithkline,KWELL,10mg/g,loç,21/01/2013
Petidina (cloridrato),Sanofi-Aventis,DOLANTINA,50mg/mL,sol inj,12/11/2012
Picossulfato sódico monoidratado,Boehringer Ingelheim,GUTTALAX,"2,5mg",pérola gelatinosa,12/11/2012
Picossulfato sódico monoidratado,Boehringer Ingelheim,GUTTALAX,"7,5mg",sol or,12/11/2012
Pilocarpina (cloridrato),Allergan,PILOCARPINA,10 | 20 | 40 mg/ml,sol oft,12/11/2012
Pimecrolimus,Novartis Biociências,ELIDEL,10mg/g,crem derm,12/11/2012
Pimetixeno,Novartis Biociências,MURICALM,"0,1mg/mL",xpe,12/11/2012
Pimetixeno,Novartis Biociências,MURICALM,1mg/mL,sol or,12/11/2012
Pinavério (brometo),Solvay Farma,DICETEL,50 | 100 mg,com rev,12/11/2012
Pioglitazona (cloridrato),Abbott,ACTOS,15 | 30 | 45mg,com,12/11/2012
"Pipemídico, ácido",Zambon,PIPUROL,400mg,cap dura,12/11/2012
Piracetam,Sanofi-Aventis,NOOTROPIL,200mg/mL,sol inj,12/11/2012
Piracetam,Sanofi-Aventis,NOOTROPIL,800mg,com rev,12/11/2012
Pirenoxina sódica,Allergan,CLARVISOL,"0,85mg",com oft,12/11/2012
Piretanida,Sanofi-Aventis,ARELIX,6mg,cap desintegr gradual,12/11/2012
Piroxicam,Pfizer,FELDENE,20mg,cap dura,12/11/2012
Piroxicam,Pfizer,FELDENE,20mg,sups,12/11/2012
Piroxicam,Pfizer,FELDENE,20mg,com sol,12/11/2012
Piroxicam,Pfizer,FELDENE,20mg/mL,sol inj,12/11/2012
Piroxicam,Pfizer,FELDENE,5mg/g,gel,12/11/2012
Piroxicam,Pfizer,FELDENE SL,20mg,com,12/11/2012
Pitavastatina,Eli Lilly,LIVALO,1 | 2 | 4mg,com rev,21/01/2013
"Poliacrílico, ácido",Novartis Biociências,VISCOTEARS,2mg/g,gel oft,12/11/2012
Policarbofila cálcica,Libbs,MUVINOR,500mg,com rev,12/11/2012
Policresuleno,Nycomed,ALBOCRESIL,18mg/g,gel,12/11/2012
Policresuleno,Nycomed,ALBOCRESIL,360mg/mL,sol ginecológica,12/11/2012
Poliestirenossulfonato cálcico,Wyeth,SORCAL,900mg/g,po sol or,12/11/2012
Pramipexol,Boehringer Ingelheim,SIFROL ER,"0,375 | 0,75 | 1,5 | 3,0 |",com lib prol,12/11/2012
Pramipexol,Boehringer Ingelheim,SIFROL,"0,125 | 0,250 | 1,0 mg",com,12/11/2012
Prasugrel (cloridrato),Daiichi Sankyo,EFFIENT,5 | 10 mg,com rev,12/11/2012
Praziquantel,Merck S/A,CESTOX,150 mg,com,12/11/2012
Praziquantel,Merck S/A,CISTICID,500 mg,com,12/11/2012
Prazosina (cloridrato),Pfizer,MINIPRESS SR,"1,0 | 2,0 | 4,0 mg",cap dura lib lenta,12/11/2012
Prednisolona (acetato),Allergan,PRED MILD | FORT,"1,2 | 10 mg/mL",susp oft,12/11/2012
Prednisolona ( fosfato sódico),Sanofi-Aventis,PREDNISOLON,"1,34mg/mL",sol or,12/11/2012
Prednisona,Mantecorp,METICORTEN,"5,0 | 20 | 50 mg",com,12/11/2012
Pregabalina,Pfizer,LYRICA,75 | 150 | 300  mg,cap dura,12/11/2012
Progesterona,Farmoquímica,UTROGESTAN,100 | 200 mg,cap mole,12/11/2012
"",Serono,CRINONE,80mg/g,gel vaginal,12/11/2012
Promestrieno,Teva Farmacêutica,COLPOTROFINE,10mg,cap mole,12/11/2012
Promestrieno,Teva Farmacêutica,COLPOTROFINE,10mg/g,crem vag,12/11/2012
Prometazina,Sanofi-Aventis,cremFENERgAN,"0,02g/g",crem derm,12/11/2012
Prometazina (cloridrato),Sanofi-Aventis,FENERGAN,25mg,com rev,12/11/2012
Prometazina (cloridrato),Sanofi-Aventis,FENERGAN,25mg/mL,sol inj,12/11/2012
Propafenona (cloridrato),Abbott,RITMONORM,300 mg,com rev,12/11/2012
Propafenona (cloridrato),Abbott,RITMONORM,"3,5 mg/mL",sol inj,12/11/2012
Propafenona (cloridrato),Abbott,RITMONORM,225mg,cap dura + microgran,12/11/2012
Propafenona (cloridrato),Abbott,RITMONORM,325mg,cap dura + microgran,12/11/2012
Propafenona (cloridrato),Abbott,RITMONORM,425 mg,cap dura + microgran,12/11/2012
Propanolol (cloridrato),Sigma Pharma,REBATEN LA,80mg,caps gelat dura + microgran,13/03/2013
Propanolol (cloridrato),Sigma Pharma,REBATEN LA,160mg,caps gelat dura + microgran,13/03/2013
Propatilnitrato,Farmoquímica,SUSTRATE,10mg,com,12/11/2012
Propiltiouracila,Pfizer,PROPIL,100mg,com,12/11/2012
Proprionato de halobetasol,Glenmark,HALOBEX,"0,5mg/g",crem derm,22/01/2013
Propofol,Astrazeneca,DIPRIVAN,10mg/mL,emul  inj,12/11/2012
Propofol,Astrazeneca,DIPRIVAN,20mg/mL,emul  inj,12/11/2012
Propanolol (cloridrato),Astrazeneca,INDERAL,10mg,com,12/11/2012
Propanolol (cloridrato),Astrazeneca,INDERAL,40mg,com,12/11/2012
Propanolol (cloridrato),Astrazeneca,INDERAL,80mg,com,12/11/2012
Prucaloprida,Janssen Cilag,RESOLOR,1mg,com revestido,17/03/2014
Prucaloprida,Janssen Cilag,RESOLOR,2 mg,com revestido,17/03/2014
Quetiapina (fumarato),Astrazeneca,SEROQUEL XRO,50mg,com rev lib prol,12/11/2012
Quetiapina (fumarato),Astrazeneca,SEROQUEL XRO,200mg,com rev lib prol,12/11/2012
Quetiapina (fumarato),Astrazeneca,SEROQUEL XRO,300mg,com rev lib prol,12/11/2012
Quetiapina (fumarato),Astrazeneca,SEROQUEL XRO,400mg,com rev lib prol,12/11/2012
Quetiapina (fumarato),Astrazeneca,SEROQUEL,25mg,com rev,12/11/2012
Quetiapina (fumarato),Astrazeneca,SEROQUEL,100mg,com rev,12/11/2012
Quetiapina (fumarato),Astrazeneca,SEROQUEL,200mg,com rev,12/11/2012
Quetiapina (fumarato),Astrazeneca,SEROQUEL,300mg,com rev,12/11/2012
Quinapril (cloridrato),Pfizer,ACCUPRIL,20mg,com rev,12/11/2012
Quinapril (cloridrato),Pfizer,ACCUPRIL,10mg,com rev,12/11/2012
Rabeprazol sódico,Janssen Cilag,PARIET,10mg,com rev,12/11/2012
Rabeprazol sódico,Janssen Cilag,PARIET,20mg,com rev,12/11/2012
Racecadotrila,Bagó,TIORFAN,100mg,cap,12/11/2012
Racecadotrila,Bagó,TIORFAN,10mg,po sol oral,12/11/2012
Racecadotrila,Bagó,TIORFAN,30mg,po sol oral,12/11/2012
Raloxifeno (cloridrato),Eli Lilly,EVISTA,60mg,com rev,12/11/2012
Raltegravir (potássico),Merck,INSENTRESS,400mg,com rev,30/04/2013
Raltitrexede,Astrazeneca,TOMUDEX,2mg,po liof sol inj,12/11/2012
Ramipril,Sanofi-Aventis,TRIATEC,"2,5mg",com,12/11/2012
Ramipril,Sanofi-Aventis,TRIATEC,"5,0mg",com,12/11/2012
Ramipril,Sanofi-Aventis,TRIATEC PREVENT,10mg,cap dura,12/11/2012
Ranitidina (cloridrato),Glaxosmithkline,ANTAK,10mg,cap dura,12/11/2012
Ranitidina (cloridrato),Glaxosmithkline,ANTAK,150mg,com eferv,12/11/2012
Ranitidina (cloridrato),Glaxosmithkline,ANTAK,150mg,com rev,12/11/2012
Ranitidina (cloridrato),Glaxosmithkline,ANTAK,150mg,gran eferv,12/11/2012
Ranitidina (cloridrato),Glaxosmithkline,ANTAK,150mg/10mL,xpe,12/11/2012
Ranitidina (cloridrato),Glaxosmithkline,ANTAK,25mg/mL,sol inj,12/11/2012
Ranitidina (cloridrato),Glaxosmithkline,ANTAK,150 mg,com rev,12/11/2012
Ranitidina (cloridrato),Glaxosmithkline,ANTAK,300mg,com rev,12/11/2012
Remifentanila (cloridrato),Glaxosmithkline,ULTIVA,"1,0mg",po liof sol inj,12/11/2012
Remifentanila (cloridrato),Glaxosmithkline,ULTIVA,"2,0mg",po liof sol inj,12/11/2012
Remifentanila (cloridrato),Glaxosmithkline,ULTIVA,"5,0 mg",po liof sol inj,12/11/2012
Repaglinida,Novo Nordisk,NOVONORM,"0,5mg",com,12/11/2012
Repaglinida,Novo Nordisk,NOVONORM,"1,0mg",com,12/11/2012
Repaglinida,Novo Nordisk,NOVONORM,"2,0mg",com,12/11/2012
Rifamicina SV sódica,Sanofi-Aventis,RIFOCINA,10mg/mL,sol top (spr),12/11/2012
Rifampicina,Sanofi-Aventis,RIFALDIN,300mg,cap gel dura,30/04/2013
Rifampicina,Furp,FURP-RIFAMPICINA,20mg/ml,sus oral,30/04/2013
Riluzol,Sanofi-Aventis,RILUTEK,50mg,com rev,12/11/2012
Risedronato sódico,Sanofi-Aventis,ACTONEL,"5,0mg",com rev,12/11/2012
Risedronato sódico,Sanofi-Aventis,ACTONEL,35mg,com rev,12/11/2012
Risedronato sódico,Sanofi-Aventis,ACTONEL,150mg,com rev,12/11/2012
Risperidona,Janssen Cilag,RISPERDAL,1mg/mL,sol or,12/11/2012
Risperidona,Janssen Cilag,RISPERDAL,"0,25mg",com rev,12/11/2012
Risperidona,Janssen Cilag,RISPERDAL,"0,50mg",com rev,12/11/2012
Risperidona,Janssen Cilag,RISPERDAL,"1,0mg",com rev,12/11/2012
Risperidona,Janssen Cilag,RISPERDAL,"2,0mg",com rev,12/11/2012
Risperidona,Janssen Cilag,RISPERDAL,"3,0mg",com rev,12/11/2012
Ritonavir,Abbott,NORVIR,100mg,cap mole,12/11/2012
Ritonavir,Abbott,NORVIR,80mg/mL,sol or,12/11/2012
Rivastigmina (hemitartarato),Novartis Biociências,EXELON,2 mg/mL,sol or,12/11/2012
Rivastigmina (hemitartarato),Novartis Biociências,EXELON,"1,5mg",cap dura,12/11/2012
Rivastigmina (hemitartarato),Novartis Biociências,EXELON,"3,0mg",cap dura,12/11/2012
Rivastigmina (hemitartarato),Novartis Biociências,EXELON,"4,5mg",cap dura,12/11/2012
Rivastigmina (hemitartarato),Novartis Biociências,EXELON,"6,0mg",cap dura,12/11/2012
Rivastigmina (hemitartarato),Novartis Biociências,EXELON,"9,0mg",ades,12/11/2012
Rivastigmina (hemitartarato),Novartis Biociências,EXELON,18mg,ades,12/11/2012
Rivastigmina (hemitartarato),Novartis Biociências,EXELON,27mg,ades,12/11/2012
Rivastigmina (hemitartarato),Novartis Biociências,EXELON,36 mg,ades,12/11/2012
Rivaroxabana,Bayer,XARELTO,10mg,com revestido,13/09/2013
Rivaroxabana,Bayer,XARELTO,15mg,com revestido,13/09/2013
Rivaroxabana,Bayer,XARELTO,20mg,com revestido,13/09/2013
Rizatriptano (benzoato),Merck Sharp & Dohme,MAXALT,"5,0mg",com,12/11/2012
Rizatriptano (benzoato),Merck Sharp & Dohme,MAXALT,10mg,com,12/11/2012
Rizatriptano (benzoato),Merck Sharp & Dohme,MAXALT,"5,0mg",disco liof,12/11/2012
Rizatriptano (benzoato),Merck Sharp & Dohme,MAXALT,10mg,disco liof,12/11/2012
Rocurônio (brometo),Organon,ESMERON,10mg/mL,sol inj,12/11/2012
Ropivacaína (cloridrato),Astrazeneca,NAROPIN,"2,0mg/mL",sol inj,12/11/2012
Ropivacaína (cloridrato),Astrazeneca,NAROPIN,"7,5mg/mL",sol inj,12/11/2012
Ropivacaína (cloridrato),Astrazeneca,NAROPIN,10mg/mL,sol inj,12/11/2012
Rosuvastatina cálcica,Astrazeneca,CRESTOR,"5,0mg",com rev,12/11/2012
Rosuvastatina cálcica,Astrazeneca,CRESTOR,"10,0mg",com rev,05/11/2013
Rosuvastatina cálcica,Astrazeneca,CRESTOR,20mg,com rev,13/11/2012
Rosuvastatina cálcica,Astrazeneca,CRESTOR,40mg,com rev,14/11/2012
Rupatadina (Fumarato),Biosintética,RUPAFIN,10 mg,com,12/11/2012
Salbutamol (sulfato),Glaxosmithkline,AEROLIN,"120,5 mcg/dose",sus era inal or + inal,12/11/2012
Salbutamol (sulfato),Glaxosmithkline,AEROLIN,"0,48mg/mL",xpe,12/11/2012
Salbutamol (sulfato),Glaxosmithkline,AEROLIN,"0,5mg/mL",sol inj,12/11/2012
Salbutamol (sulfato),Glaxosmithkline,AEROLIN,"2,4mg",com,12/11/2012
Salbutamol (sulfato),Glaxosmithkline,AEROLIN,"4,8mg",com,12/11/2012
Salbutamol (sulfato),Glaxosmithkline,AEROLIN,"6,0mg/mL",sol inal got,12/11/2012
Salbutamol (sulfato),Glaxosmithkline,AEROLIN,"0,4mg/mL",sol or,12/11/2012
Saquinavir,Cristália,SVIR,200mg,cap gel mole,30/04/2013
Saxagliptina (cloridrato),Bristol Myers Squibb,ONGLYZA,5mg,com rev,12/11/2012
Saxagliptina (cloridrato),Bristol Myers Squibb,ONGLYZA,"2,5mg",com rev,13/11/2012
Secnidazol,Sanofi-Aventis,SECNIDAL,1000mg,com rev,12/11/2012
Secnidazol,Prati Donaduzzi,GENÉRICO,500mg,com rev,23/07/2013
Sertralina (cloridrato),Biosintética,TOLREST,25 mg,com rev,12/11/2012
Sertralina (cloridrato),Biosintética,TOLREST,75mg,com rev,12/11/2012
Sertralina (cloridrato),Pfizer,ZOLOFT,50 | 100 mg,com rev,12/11/2012
Sevelamer (carbonato),Genzyme,RENVELA,800mg,com rev,12/11/2012
Sevelamer (cloridrato),Genzyme,RENAGEL,400 | 800 mg,com rev,12/11/2012
Sevelamer (cloridrato),Genzyme,RENAGEL,403mg,cap dura,12/11/2012
Sevoflurano,Abbott,SEVORANE,1 ml/ml,sol inal,12/11/2012
Sildenafil (citrato),Pfizer,REVATIO,20mg,com rev,12/11/2012
Sildenafil (citrato),Pfizer,VIAGRA,25 | 50 | 100 mg,com rev,12/11/2012
Simeticona,Lab.Amer.Farmacoterapia,FLATEX,150mg/mL,emul got,12/11/2012
Simeticona,Lab.Amer.Farmacoterapia,FLATEX,80 | 150mg,com,31/01/2013
Simeticona,Bristol Myers Squibb,LUFTAL,40mg,com,12/11/2012
Simeticona,Bristol Myers Squibb,LUFTAL,75mg/ml,emul got,12/11/2012
Simeticona,Bristol Myers Squibb,LUFTAL MAX,125mg,cap,12/11/2012
Simeticona,Geolab,DIMEFTAL,125mg,com mast,07/10/2013
Sinvastatina,Merck Sharp & Dohme,ZOCOR,10 | 20 | 40 | 80 mg,com rev,12/11/2012
Sirolimo,Wyeth,RAPAMUNE,"1,0 | 2,0 | 5,0 mg",drag,12/11/2012
Sirolimo,Wyeth,RAPAMUNE,"1,0 | 2,0 | 5,0 mg",sol or,12/11/2012
Sitagliptina (fosfato),Merck Sharp & Dohme,JANUVIA,25 | 50 | 100 mg,com rev,12/11/2012
Solifenacina (succinato),Astellas,VESICARE,5 | 10 mg,com ver,19/04/2013
Somatostatina,Serono,STILAMIN,3mg,po liof sol inj + diluente 1mL,12/11/2012
Sorafenibe (tosilato),Bayer,NEXAVAR,200mg,com revestido,06/06/2013
Sotalol (cloridrato),Bristol Myers Squibb,SOTACOR,120 | 160 mg,com,12/11/2012
Sufentanila (citrato),Janssen Cilag,SUFENTA,"5,0 | 50 mcg/mL",sol inj,12/11/2012
Sulfiram,Astrazeneca,TETMOSOL,"4,0 g",sabn,12/11/2012
Sulfiram,Astrazeneca,TETMOSOL,"0,25g/g",sol top,12/11/2012
Sulpirida,Sanofi-Aventis,EQUILID,200mg,com,12/11/2012
Sulpirida,Sanofi-Aventis,EQUILID,50mg,cap dura,12/11/2012
Sultamicilina,Pfizer,UNASYN,250mg,po susp or,12/11/2012
Sultamicilina (tosilato),Pfizer,UNASYN,375mg,com rev,12/11/2012
Sumatripano (succinato),Glaxosmithkline,IMIGRAN,50 | 100 mg,com rev,12/11/2012
Sumatripano (succinato),Libbs,SUMAX,6mg/ml,sol inj,12/11/2012
sunitinibe (malato),Pfizer,SUTENT,"12,5 | 25 | 50 mg",cap gel dura,22/04/2013
Tacrolimo,Janssen Cilag,PROGRAF,"1,0 | 5,0 mg",cap dura,12/11/2012
Tacrolimo,Janssen Cilag,PROGRAF,"5,0 mg/mL",sol inj,12/11/2012
Tacrolimo,Janssen Cilag,PROGRAF XL,"0,5  | 1,0 | 5,0 mg",cap dura lib prol,04/02/2013
Tacrolimo,Astellas,PROTOPIC,"0,3 | 1,0 mg/g",pom,12/11/2012
Tadalafila,Eli Lilly,CIALIS,5 | 20 | 50 mg,com rev,12/11/2012
Tamoxifeno (citrato),Astrazeneca,NOLVADEX D,10 | 20 mg,com rev,12/11/2012
Tansulosina (cloridrato),Boehringer Ingelheim,SECOTEX,"0,40 mg",com rev,12/11/2012
Tansulosina (cloridrato),Geolab,GENÉRICO N/A,"0,40 mg",cap,12/11/2012
Tegaserode (maleato),Novartis Biociências,ZELMAC,6mg,com,12/11/2012
Teicoplanina,Sanofi-Aventis,TARGOCID,200 mg  | 400mg,po liof sol inj,12/11/2012
Telmisartana,Boehringer Ingelheim,MICARDIS,40 | 80 mg,com,12/11/2012
Temozolomida,Schering Plough,TEMODAL,5 | 20 | 100 | 140 | 180 |,cap dura,12/11/2012
Temozolomida,Schering Plough,TEMODAL,100 mg,po liof sol inj,04/02/2013
Teniposídeo,Bristol Myers Squibb,VUMON,10mg/mL,sol inj,12/11/2012
Tenofovir desoproxila (fumarato),United Medical,VIREAD,300 mg,com rev,12/11/2012
Tenoxicam,Roche,TILATIL,20mg,com rev,12/11/2012
Tenoxicam,Eurofarma,TENOXICAM - GENÉRICO,20 | 40 mg,po liof sol inj,12/11/2012
Teofilina,Abbott,TEOLONG,100 | 200 | 300mg,cap + microgran lib control,12/11/2012
Terazosina (cloridrato),Abbott,HYTRIN,"2,0 ! 5,0 mg",com,12/11/2012
Terbinafina,Novartis Biociências,LAMISIL,10mg/g,gel,12/11/2012
Terbinafina (cloridrato),Novartis Biociências,LAMISIL,10mg/g,crem derm,12/11/2012
Terbinafina (cloridrato),Novartis Biociências,LAMISIL,10mg/mL,sol top (spr),12/11/2012
Terbinafina (cloridrato),Novartis Biociências,LAMISIL,125 | 250 mg,com,12/11/2012
Terbutalina (sulfato),Astrazeneca,BRICANYL,"0,3mg/mL",xpe,12/11/2012
